MOL_smiles,pIC50,Gene_Symbol,Original_Entry_ID
CC(C)n1nc(-c2ccc3cn[nH]c3c2)c2c(N)ncnc21,5.6,EGFR,CHEMBL1242477
CC(C)n1nc(-c2ccc(C#N)nc2)c2c(N)ncnc21,4.0,EGFR,CHEMBL1241772
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2CC1CCNCC1,4.0,EGFR,CHEMBL1242844
CCOc1ccc(-c2n[nH]c3ncnc(N)c23)cc1OC,4.0,EGFR,CHEMBL1242471
CC(C)n1nc(-c2ccc3cc[nH]c3c2)c2c(N)ncnc21,6.66,EGFR,CHEMBL1242574
CC(C)n1nc(-c2ccc(O)c(F)c2)c2c(N)ncnc21,5.98,EGFR,CHEMBL1241945
Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2C1CCC1,5.94,EGFR,CHEMBL1241580
CC(C)n1nc(-c2ccc(F)c(C#N)c2)c2c(N)ncnc21,4.0,EGFR,CHEMBL1241680
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2C1CNC1,5.54,EGFR,CHEMBL1242567
CC(C)n1nc(-c2cc(F)c3c[nH]nc3c2)c2c(N)ncnc21,5.92,EGFR,CHEMBL1242573
CC(C)n1nc(-c2cccc(S(N)(=O)=O)c2)c2c(N)ncnc21,4.0,EGFR,CHEMBL1242031
CC(C)n1nc(-c2cccc(C(=O)NC3=NCCS3)c2)c2c(N)ncnc21,6.24,EGFR,CHEMBL1242115
COc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1OC,5.2,EGFR,CHEMBL1242379
Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2CC1CCNCC1,4.0,EGFR,CHEMBL1241859
CC(C)n1nc(-c2ccc3nccc(NC(=O)OC(C)(C)C)c3c2)c2c(N)ncnc21,4.0,EGFR,CHEMBL1242033
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2C1CCCCCC1,6.11,EGFR,CHEMBL1242750
Nc1ncnc2c1c(-c1ccc3n[nH]cc3c1)nn2C1CCCC1,6.24,EGFR,CHEMBL1242475
N#CCCCn1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,4.74,EGFR,CHEMBL1242469
Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2CC1CCNC1,5.7,EGFR,CHEMBL1241770
CCC(C)n1nc(-c2ccc(C)c(O)c2)c2c(N)ncnc21,5.78,EGFR,CHEMBL1242109
CC(C)n1nc(-c2cccc(C#N)c2)c2c(N)ncnc21,4.0,EGFR,CHEMBL1241679
CC(C)n1nc(-c2ccc3occc(=O)c3c2)c2c(N)ncnc21,4.54,EGFR,CHEMBL1242118
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,7.7,EGFR,CHEMBL1421
CC(C)n1nc(-c2ccc(Cl)c(O)c2)c2c(N)ncnc21,6.8,EGFR,CHEMBL1241484
CC(C)n1nc(-c2ccc3nc(N)ccc3c2)c2c(N)ncnc21,4.92,EGFR,CHEMBL1241949
CC(C)n1nc(-c2cccnc2)c2c(N)ncnc21,4.0,EGFR,CHEMBL1241390
Nc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1O,7.48,EGFR,CHEMBL1241487
CC(C)n1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21,6.26,EGFR,CHEMBL1241578
CC(C)n1nc(-c2ccc(S(N)(=O)=O)cc2)c2c(N)ncnc21,4.0,EGFR,CHEMBL1242032
Cc1ccc2cc(-c3nn(C(C)C)c4ncnc(N)c34)ccc2n1,4.0,EGFR,CHEMBL1241682
Nc1ncnc2c1c(-c1ccc3cc[nH]c3c1)nn2C1CCCC1,7.07,EGFR,CHEMBL1242664
COc1cc(-c2nn(C3CCCC3)c3ncnc(N)c23)ccc1N,7.08,EGFR,CHEMBL1241581
Cc1ccc(-c2[nH]nc3ncnc(N)c23)cc1O,4.91,EGFR,CHEMBL1241270
COc1cccc(-c2nn(C(C)C)c3ncnc(N)c23)c1OC,5.44,EGFR,CHEMBL1242751
